Артикул,Отдел,Наименование товара,Ед_изм,Количество в упаковке,Цена за упаковку
1,Конфеты,Батончик соевый,грамм,250,110
2,Конфеты,Заяц шоколадный большой,шт,1,250
3,Конфеты,Заяц шоколадный малый,шт,6,300
4,Конфеты,Зефир в шоколаде,грамм,250,220
5,Конфеты,Зефир ванильный,грамм,800,200
6,Конфеты,Зефир воздушный,грамм,500,150
7,Конфеты,Зефир лимонный,кг,2,250
8,Конфеты,"Карамель ""Барбарис""",грамм,250,50
9,Конфеты,"Карамель ""Взлетная""",грамм,500,90
10,Конфеты,"Карамель ""Раковая шейка""",грамм,1000,600
11,Конфеты,Карамель клубничная,грамм,500,100
12,Конфеты,Карамель лимонная,грамм,250,55
13,Конфеты,Карамель мятная,грамм,500,85
14,Конфеты,Клюква в сахаре,грамм,300,220
15,Конфеты,Курага в шоколаде,грамм,250,300
16,Конфеты,"Леденец ""Петушок""",шт,1,20
17,Конфеты,Леденцы фруктовые драже,грамм,150,120
18,Конфеты,Мармелад в шоколаде,грамм,150,120
19,Конфеты,Мармелад желейный фигурки,грамм,700,170
20,Конфеты,Мармелад лимонный,грамм,500,120
21,Конфеты,Мармелад сливовый,грамм,500,110
22,Конфеты,Мармелад фруктовый,грамм,600,120
23,Конфеты,Мармелад яблочный,грамм,1000,180
24,Конфеты,"Набор конфет ""Новогодний""",грамм,200,350
25,Конфеты,Пастила ванильная,грамм,250,125
26,Конфеты,Пастила с клюквенным соком,грамм,300,140
27,Конфеты,Сладкая плитка соевая,грамм,100,55
28,Конфеты,Суфле в шоколаде,грамм,250,115
29,Конфеты,Чернослив в шоколаде,грамм,250,300
30,Конфеты,Шоколад молочный,грамм,100,75
31,Конфеты,Шоколад с изюмом,грамм,80,80
32,Конфеты,Шоколад с орехом,грамм,100,90
33,Конфеты,Шоколад темный,грамм,100,80
34,Конфеты,"Шоколадные конфеты ""Белочка""",грамм,200,130
35,Конфеты,"Шоколадные конфеты ""Грильяж""",грамм,300,200
36,Конфеты,Шоколадные конфеты ассорти,грамм,400,375
37,Печенье,Галеты для завтрака,грамм,200,50
38,Печенье,Крекеры воздушные,грамм,200,50
39,Печенье,Крекеры соленые,грамм,250,40
40,Печенье,Крендель с корицей,грамм,200,70
41,Печенье,Крендельки с солью,грамм,100,35
42,Печенье,Орешки с вареной сгущенкой,грамм,500,150
43,Печенье,"Печенье ""Юбилейное""",грамм,120,50
44,Печенье,Печенье кокосовое,грамм,200,80
45,Печенье,Печенье миндальное,грамм,200,250
46,Печенье,Печенье овсяное классическое,грамм,300,90
47,Печенье,Печенье овсяное с изюмом,грамм,300,95
48,Печенье,Печенье овсяное с шоколадом,грамм,300,100
49,Печенье,Печенье постное,грамм,250,60
50,Печенье,Печенье с клубничной начинкой,грамм,250,110
51,Печенье,Печенье с лимонной начинкой,грамм,250,110
52,Печенье,Печенье с маковой начинкой,грамм,200,100
53,Печенье,Печенье сахарное для тирамису,грамм,400,200
54,Печенье,Печенье сдобное апельсин,грамм,300,90
55,Печенье,Печенье сдобное вишня,грамм,300,100
56,Печенье,Пряник большой сувенирный,шт,1,150
57,Печенье,Пряник тульский с начинкой,шт,1,40
58,Печенье,Пряники имбирные,грамм,500,80
59,Печенье,Пряники мятные,грамм,500,80
60,Печенье,Пряники шоколадные,грамм,500,85
